"","MES","REGIONAL","CENTRO.DE.FORMACION","GRUPO.O.DEPENDENCIA","FUNCIONARIO","APLICATIVO","CANAL","MEDIO.DE.INGRESO","GRUPO.DE.INTERES","ASUNTO","TIPO.DE.PETICION","TEMA.PQRS","ESTADO.REAL.PQRS"
"15","Marzo","Direccion General","Direccion De Empleo Y Trabajo","Coordinacion Nacional De La Agencia Publica De Empleo","Elsa Aurora Bohorquez Vargas","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"16","Marzo","Antioquia","Regional","Agencia Publica De Empleo","Gustavo Adolfo Castano Estrada","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Ape- Restablecimiento De Contrasena Y Actualizacion De Datos","Respuesta Generada"
"17","Febrero","Distrito Capital","Centro De Servicios Financieros","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Maria Alejandra Silva Gomez","Onbase","Virtual","Web","Aprendiz Sena","Queja","Servidor Publico","Mala Prestacion Del Servicio - Instructor","Respuesta Generada"
"18","Enero","Risaralda","Centro De Comercio Y Servicios","Despacho Subdireccion De Centro","Andres Gomez Calderon","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Pagina Sena - Atencion Al Ciudadano","Respuesta Generada"
"19","Marzo","Direccion General","Direccion De Formacion Profesional","Grupo Gestion Administrativa, De Registro Y Control Academico","Edgar Adrian Zambrano","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","De Formacion","Respuesta Generada"
"20","Marzo","Santander","Centro Industrial De Mantenimiento Integral","Despacho Subdireccion De Centro","Claudia Marcela Murillo Salguero","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Informacion","Certificaciones Aprendiz","Respuesta Generada"
"21","Febrero","Direccion General","Direccion Administrativa Y Financiera","Grupo De Tesoreria","Oscar Javier Castro Anaya","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Solicitudes Administrativas","Respuesta Generada"
"22","Marzo","Meta","Centro De Industria Y Servicios Del Meta","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Paola Andrea Gomez Duarte","Onbase","Presencial","Fisico","Aprendiz Sena","Queja","Aprendiz Sena","Solicitudes Administrativas","Respuesta Generada"
"23","Febrero","Amazonas","Regional","Grupo De Formacion Profesional Y Empleo","Susana De Las Mercedes Cortes","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape- Restablecimiento De Contrasena Y Actualizacion De Datos","Respuesta Generada"
"24","Marzo","Putumayo","Regional","Grupo De Formacion Profesional Y Empleo","Jose Ricardo Ordonez Barrera","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"25","Marzo","Valle Del Cauca","Centro Latinoamericano De Especies Menores","Despacho Subdireccion De Centro","(E) Marcelo Antonioni Aguilar Montero","Onbase","Presencial","Fisico","Ciudadano","Peticion","Interes General O Particular","Solicitudes Administrativas","Respuesta Generada"
"26","Febrero","Distrito Capital","Centro De Diseno Y Metrologia","Despacho Subdireccion De Centro","Vanessa Del Rosario Patino Beltran","Crm","Virtual","Web","Empresa","Peticion","De Servicios","Error Plataforma","Respuesta Generada"
"27","Febrero","Direccion General","Direccion Administrativa Y Financiera","Grupo De Recaudo Y Cartera","Manuel Fernando Monsalve Ahumada","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Solicitudes Administrativas","Respuesta Generada"
"28","Enero","Direccion General","Direccion De Formacion Profesional","Despacho Direccion","Wilfredo Grajales Rosas","Onbase","Virtual","Email","Empresa","Peticion","Interes General O Particular","Personales Direccion General","Respuesta Generada"
"29","Febrero","Sucre","Regional","Grupo De Formacion Profesional Y Empleo","Ferley Ramos Geliz","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Solicitudes Administrativas","Respuesta Generada"
"30","Enero","Distrito Capital","Centro De Gestion De Mercados, Logistica Y Tecnologias De La Informacion","Despacho Subdireccion De Centro","Elvia Zoraida Martin Mora","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Informacion","Certificaciones Aprendiz","Respuesta Generada"
"31","Marzo","Bolivar","Centro De Comercio Y Servicios","Despacho Subdireccion De Centro","Yeny Liney Romero Ochoa","Onbase","Virtual","Email","Empresa","Peticion","De Informacion","Inscripcion - Programas Formacion Complementaria","Respuesta Generada"
"32","Marzo","Distrito Capital","Centro De Gestion De Mercados, Logistica Y Tecnologias De La Informacion","Despacho Subdireccion De Centro","Diana Del Pilar Galan Vega","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"33","Marzo","Caqueta","Centro Tecnologico De La Amazonia","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Alba Luz Mendez Rojas","Onbase","Presencial","Fisico","Ciudadano","Peticion","De Servicios","De Formacion","Respuesta Generada"
"34","Febrero","Meta","Centro De Industria Y Servicios Del Meta","Despacho Subdireccion De Centro","(E) Stella Loboa Vasquez","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Generada"
"35","Marzo","Direccion General","Direccion De Formacion Profesional","Grupo Gestion Estrategica De La Formacion Profesional","Claudia Patricia Forero Londono","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Inscripcion - Programas Formacion Virtual","Respuesta Generada"
"36","Marzo","Caldas","Centro De Automatizacion Industrial","Despacho Subdireccion De Centro","Andrea Cardona Riano","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Certificacion Competencias Laborales","Respuesta Generada"
"37","Marzo","Tolima","Centro De Industria Y Construccion","Despacho Subdireccion De Centro","(E) Alexander Montealegre Ramirez","Onbase","Virtual","Web","Aprendiz Sena","Reclamo","Peticion Sin Responder","Peticion Que Transcurrio Tiempo Normativo Y No Se Ha Recibido Respuesta","Respuesta Generada"
"38","Enero","Choco","Regional","Grupo De Formacion Profesional Y Empleo","Maria Angelica Vega Marcelin","Onbase","Presencial","Fisico","Ciudadano","Peticion","De Documentacion","Solicitudes Administrativas","Respuesta Generada"
"39","Enero","Atlantico","Regional","Agencia Publica De Empleo","Yanina Faride Tellez Dau","Onbase","Virtual","Web","Campesino","Peticion","De Servicios","Ape-Cambio/Actualizacion Tipo De Identificacion Usuario","Respuesta Generada"
"40","Marzo","Atlantico","Centro De Comercio Y Servicios","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Linda Evelin Pichon Roncallo","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Solicitud De Aplazamiento","Respuesta Generada"
"41","Febrero","Cundinamarca","Centro De Desarrollo Agroindustrial Y Empresarial","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Zulma Rogio Gomez Galeon","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","Informacion General Formacion Profesional","Respuesta Generada"
"42","Marzo","Cesar","Regional","Agencia Publica De Empleo","Carlos Cardenas Figueroa","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"43","Febrero","Direccion General","Direccion De Empleo Y Trabajo","Coordinacion Nacional De La Agencia Publica De Empleo","Elsa Aurora Bohorquez Vargas","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"44","Marzo","Cundinamarca","Centro De Biotecnologia Agropecuaria","Promocion Y Relaciones Corporativas","Carlos Justino Cortes Herrera","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"45","Enero","Huila","Centro De Desarrollo Agroempresarial Y Turistico Del Huila","Despacho Subdireccion De Centro","(E) Cesar Humberto Chavarro Perez","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Ape- Restablecimiento De Contrasena Y Actualizacion De Datos","Respuesta Generada"
"46","Marzo","Tolima","Regional","Agencia Publica De Empleo","Jefferson Munoz Ayala","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Publicacion De Vacante","Respuesta Generada"
"47","Marzo","Direccion General","Oficina De Sistemas","Despacho Direccion","Carlos Martin Coy Rodriguez","Onbase","Virtual","Email","Ciudadano","Peticion","Interes General O Particular","Solicitudes Administrativas","Respuesta Generada"
"48","Marzo","Direccion General","Secretaria General","Grupo De Relaciones Laborales","Santiago Ramirez Gonzalez","Onbase","Virtual","Email","Servidor Publico","Peticion","Interes General O Particular","Personales Regionales","Respuesta Generada"
"49","Marzo","Huila","Centro De La Industria, La Empresa Y Los Servicios","Despacho Subdireccion De Centro","Carlos Alberto Galindo Reyes","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"50","Febrero","Cundinamarca","Centro De Biotecnologia Agropecuaria","Despacho Subdireccion De Centro","Nelson Octavio Gomez Botero","Onbase","Virtual","Email","Ciudadano","Peticion","De Documentacion","Inscripcion - Programas Formacion Virtual","Respuesta Generada"
"51","Marzo","Huila","Centro De La Industria, La Empresa Y Los Servicios","Despacho Subdireccion De Centro","Fermin Beltran Barragan","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Documentacion","Certificado Formacion Titulada","Respuesta Generada"
"52","Marzo","Cauca","Centro De Comercio Y Servicios","Despacho Subdireccion De Centro","Ana Alexandra Rodriguez Vargas","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"53","Marzo","Direccion General","Direccion De Formacion Profesional","Grupo Gestion Administrativa, De Registro Y Control Academico","Edgar Adrian Zambrano","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","De Formacion","Respuesta Generada"
"54","Febrero","Valle Del Cauca","Centro De La Construccion","Despacho Subdireccion De Centro","Beatriz Cobo","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Informacion General Formacion Profesional","Respuesta Generada"
"55","Enero","Distrito Capital","Regional","Grupo De Formacion Profesional Y Empleo","Ana Milena Angel Parra","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape- Restablecimiento De Contrasena Y Actualizacion De Datos","Respuesta Generada"
"56","Febrero","Distrito Capital","Regional","Grupo De Formacion Profesional Y Empleo","Ana Milena Angel Parra","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"57","Marzo","Distrito Capital","Regional","Grupo De Formacion Profesional Y Empleo","Ana Milena Angel Parra","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Reintegro","Respuesta Generada"
"58","Marzo","Atlantico","Regional","Grupo Apoyo Administrativo Mixto","Alexandra Milena Palacio Fuentes","Onbase","Presencial","Fisico","Empresa","Peticion","De Informacion","Solicitudes Administrativas","Respuesta Generada"
"59","Marzo","Meta","Regional","Grupo De Relaciones Corporativas E Internacionales","Gladys Gutierrez Sarmiento","Onbase","Presencial","Fisico","Servidor Publico","Peticion","Interes General O Particular","Solicitudes Administrativas","Respuesta Generada"
"60","Marzo","Valle Del Cauca","Centro De La Construccion","Despacho Subdireccion De Centro","Beatriz Cobo","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Informacion General Formacion Profesional","Respuesta Generada"
"61","Febrero","Quindio","Regional","Agencia Publica De Empleo","Juan Diego Giraldo Llano","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"62","Marzo","Antioquia","Centro Tecnologico Del Mobiliario","Despacho Subdireccion De Centro","Elkin Dario Tobon Tamayo","Onbase","Virtual","Email","Aprendiz Sena","Reclamo","Ausencia De Un Servicio","De Formacion","Respuesta Generada"
"63","Febrero","Valle Del Cauca","Centro Nautico Pesquero De Buenaventura","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Diana Edith Paz Cano","Onbase","Presencial","Fisico","Empresa","Peticion","De Servicios","De Formacion","Respuesta Generada"
"64","Marzo","Direccion General","Direccion De Formacion Profesional","Grupo Gestion Estrategica De La Formacion Profesional","Claudia Patricia Forero Londono","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Inscripcion - Programas Formacion Titulada","Respuesta Generada"
"65","Marzo","Antioquia","Centro Textil Y De Gestion Industrial","Despacho Subdireccion De Centro","Diana Maria Lopez Jimenez","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"66","Marzo","Distrito Capital","Regional","Grupo De Relaciones Corporativas E Internacionales","Juan Sebastian Aguirre Martinez","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Matriz Regulacion Cuota De Aprendices","Respuesta Generada"
"67","Febrero","Direccion General","Direccion De Empleo Y Trabajo","Coordinacion Nacional De La Agencia Publica De Empleo","Elsa Aurora Bohorquez Vargas","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"68","Febrero","Distrito Capital","Centro De Servicios Financieros","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Juan Camilo Pulgarin Vanegas","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Informacion","Certificaciones Aprendiz","Respuesta Generada"
"69","Marzo","Norte De Santander","Centro De Formacion Para El Desarrollo Rural Y Minero","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Johneder Melgarejo Castaneda","Onbase","Virtual","Web","Empresa","Peticion","De Servicios","Ape-Servicio A Ciudadanos Y Empresas","Respuesta Generada"
"70","Enero","Antioquia","Regional","Grupo De Relaciones Corporativas E Internacionales","Gustavo Adolfo Castano Estrada","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"71","Enero","Cordoba","Centro De Comercio, Industria Y Turismo De Cordoba","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Mavir Padilla Rios","Onbase","Virtual","Web","Ciudadano","Peticion","De Documentacion","Certificado De Competencia Laboral Del Proceso De Evaluacion Y Certificacion De Competencias Laborales","Respuesta Generada"
"72","Febrero","Direccion General","Direccion De Empleo Y Trabajo","Coordinacion Nacional De La Agencia Publica De Empleo","Elsa Aurora Bohorquez Vargas","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Convocatorias Empleo","Respuesta Generada"
"73","Marzo","Narino","Centro Surcolombiano De Logistica Internacional","Despacho Subdireccion De Centro","(E) Edmundo Bayardo Arteaga Grijalba","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"74","Febrero","Caqueta","Regional","Centro Tecnologico De La Amazonia","Jose Edward Joven Bustamante","Onbase","Presencial","Fisico","Servidor Publico","Peticion","De Documentacion","Personales Regionales","Respuesta Generada"
"75","Marzo","Huila","Centro De Gestion Y Desarrollo Sostenible Sur Colombiano","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Luis Angel Parra","Onbase","Virtual","Web","Aprendiz Sena","Queja","Entidad","Irregularidades Contratacion - Prestacion Servicios Personales Centros De Formacion","Respuesta Generada"
"76","Marzo","Distrito Capital","Centro De Electricidad, Electronica Y Telecomunicaciones","Despacho Subdireccion De Centro","Brayan Rincon","Onbase","Virtual","Web","Aprendiz Sena","Sugerencia","Servicios Sena","Solicitud De Reintegro","Respuesta Generada"
"77","Enero","Distrito Capital","Regional","Grupo De Formacion Profesional Y Empleo","Ana Milena Angel Parra","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape- Restablecimiento De Contrasena Y Actualizacion De Datos","Respuesta Generada"
"78","Enero","Narino","Centro Internacional De Produccion Limpia - Lope","Despacho Subdireccion De Centro","Laura Ines Paredes Delgado","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"79","Marzo","Atlantico","Centro Para El Desarrollo Agroecologico Y Agroindustrial","Grupo Apoyo Administrativo Mixto","Karen Maria Polo Alvarez","Onbase","Virtual","Web","Servidor Publico","Peticion","De Documentacion","Certificado De Competencia Laboral Del Proceso De Evaluacion Y Certificacion De Competencias Laborales","Respuesta Generada"
"80","Marzo","Antioquia","Regional","Agencia Publica De Empleo","Gustavo Adolfo Castano Estrada","Onbase","Virtual","Email","Empresa","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"81","Marzo","Magdalena","Centro De Logistica Y Promocion Ecoturistica Del Magdalena","Despacho Subdireccion De Centro","Carlos Mario Garcia","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"82","Febrero","Distrito Capital","Regional","Grupo De Relaciones Corporativas E Internacionales","Angelica Maria Lopez Otalora","Onbase","Presencial","Fisico","Empresa","Peticion","De Servicios","Aportes Fic","Respuesta Generada"
"83","Febrero","Tolima","Centro De Industria Y Construccion","Despacho Subdireccion De Centro","(E) Lina Lizeth Martinez Calderon","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Reintegro","Respuesta Generada"
"84","Febrero","Guaviare","Regional","Grupo De Formacion Profesional","Edgar Augusto Braga Silva","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Informacion","De Formacion","Respuesta Generada"
"85","Marzo","Antioquia","Centro De Diseno Y Manufactura Del Cuero","Centro De Diseno Y Manufactura Del Cuero","Winston Alberto Gutierrez Orozco","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"86","Enero","Boyaca","Centro De Gestion Administrativa Y Fortalecimiento Empresarial","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Marco Hernan Luis Rojas","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Aplazamiento","Respuesta Generada"
"87","Marzo","Bolivar","Centro Para La Industria Petroquimica","Despacho Subdireccion De Centro","(E) Jorge Alberto Villanueva Villarreal","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","De Formacion","Respuesta Generada"
"88","Febrero","Norte De Santander","Centro De Formacion Para El Desarrollo Rural Y Minero","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Johneder Melgarejo Castaneda","Crm","Virtual","Web","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"89","Febrero","Guajira","Centro Agroempresarial Y Acuicola","Despacho Subdireccion De Centro","Carlos Enrique Pardo Andrade","Onbase","Presencial","Fisico","Ciudadano","Peticion","Interes General O Particular","Solicitudes Administrativas","Respuesta Generada"
"90","Febrero","Antioquia","Centro Textil Y De Gestion Industrial","Despacho Subdireccion De Centro","Diana Maria Lopez Jimenez","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"91","Enero","Atlantico","Centro De Comercio Y Servicios","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Dorys Esther Del Toro Ruiz","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Aplazamiento","Respuesta Generada"
"92","Febrero","Distrito Capital","Centro De Formacion Actividad Fisica Y Cultural","Grupo De Relaciones Corporativas","Juan Pablo Cristancho Cubillos","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","De Formacion","Respuesta Generada"
"93","Febrero","Distrito Capital","Centro De Electricidad, Electronica Y Telecomunicaciones","Despacho Subdireccion De Centro","(E) Pedro Rodriguez Sandoval","Onbase","Virtual","Email","Ciudadano","Peticion","De Informacion","Inscripcion - Programas Formacion Titulada","Respuesta Generada"
"94","Febrero","Valle Del Cauca","Centro Nautico Pesquero De Buenaventura","Despacho Subdireccion De Centro","Andres Falla Victoria","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","De Formacion","Respuesta Generada"
"95","Marzo","Atlantico","Centro Nacional Colombo Aleman","Grupo Administracion Educativa","Jhon Derlyng Cardona Delgado","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Inscripcion - Programas Formacion Titulada","Respuesta Generada"
"96","Marzo","Cundinamarca","Centro De La Tecnologia Del Diseno Y La Productividad Empresarial","Despacho Subdireccion De Centro","(E) Luis Javier Prada Paez","Onbase","Presencial","Fisico","Ciudadano","Peticion","Interes General O Particular","Prestacion Del Servicio","Respuesta Generada"
"97","Febrero","Amazonas","Regional","Grupo De Formacion Profesional Y Empleo","Susana De Las Mercedes Cortes","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Solicitud De Reintegro","Respuesta Generada"
"98","Febrero","Casanare","Regional","Grupo De Formacion Profesional Y Empleo","Levis Cerpa","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","De Formacion","Respuesta Generada"
"99","Febrero","Antioquia","Regional","Agencia Publica De Empleo","Eimar De Jesus Castano Graciano","Onbase","Virtual","Email","Ciudadano","Peticion","De Documentacion","Servicio Nacional De Empleo","Respuesta Generada"
"100","Enero","Distrito Capital","Centro De Tecnologias Para La Construccion Y La Madera","Grupo De Formacion Profesional","Rosa Blanca Amaranto Merino","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Certificacion Competencias Laborales","Respuesta Generada"
"101","Febrero","Cundinamarca","Regional","Grupo De Relaciones Corporativas E Internacionales","Fabiola Cadena Diaz","Crm","Virtual","Web","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"102","Enero","Distrito Capital","Regional","Grupo De Formacion Profesional Y Empleo","Ana Milena Angel Parra","Onbase","Virtual","Web","Ciudadano","Peticion","De Consulta","Concurso De Meritos","Respuesta Generada"
"103","Enero","Atlantico","Regional","Agencia Publica De Empleo","Yanina Faride Tellez Dau","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Ape- Restablecimiento De Contrasena Y Actualizacion De Datos","Respuesta Generada"
"104","Marzo","Risaralda","Regional","Agencia Publica De Empleo","Carlos Arturo Vergara Garay","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape- Validacion Documentos Hoja De Vida","Respuesta Generada"
"105","Marzo","Antioquia","Complejo Tecnologico, Turistico Y Agroindustrial Del Occidente Antioqueno","Despacho Subdireccion De Centro","Oldrid Farnery Zambrano Benavides","Onbase","Presencial","Fisico","Ciudadano","Peticion","Interes General O Particular","Contratacion - Prestacion Servicios Personales","Respuesta Generada"
"106","Febrero","Sucre","Regional","Grupo De Formacion Profesional Y Empleo","Ferley Ramos Geliz","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","De Formacion","Respuesta Generada"
"107","Marzo","Antioquia","Centro De Comercio","Despacho Subdireccion De Centro","(E) Oswaldo De Jesus Monroy Urrego","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Documentacion","Certificado Formacion Titulada","Respuesta Generada"
"108","Marzo","Caqueta","Centro Tecnologico De La Amazonia","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Cesar Fernando Marles","Onbase","Presencial","Fisico","Empresa","Peticion","De Informacion","De Formacion","Respuesta Generada"
"109","Febrero","Sucre","Regional","Agencia Publica De Empleo","Johanna Lizeth Sierra Vega","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Agencia Publica De Empleo","Respuesta Generada"
"110","Marzo","Distrito Capital","Regional","Grupo De Formacion Profesional Y Empleo","Diego Adrian Lopez Silva","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Registro En Pagina","Respuesta Generada"
"111","Marzo","Boyaca","Centro De Gestion Administrativa Y Fortalecimiento Empresarial","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Julian Alfonso Valero Bustos","Onbase","Presencial","Fisico","Empresa","Peticion","Interes General O Particular","Solicitudes Administrativas","Respuesta Generada"
"112","Febrero","Huila","Regional","Grupo De Apoyo Administrativo","Alfonso Bonilla Cordoba","Onbase","Presencial","Fisico","Ciudadano","Peticion","De Informacion","Solicitudes Administrativas","Respuesta Generada"
